"FACILITY","ADDRESS","LAST INSPECTED","VIOLATIONS","TOTAL # CRITICAL VIOLATIONS","TOTAL #CRIT.  NOT CORRECTED ","TOTAL # NONCRITICAL VIOLATIONS","DESCRIPTION"," LOCAL HEALTH DEPARTMENT","COUNTY","FACILITY ADDRESS","CITY","ZIP CODE","NYSDOH GAZETTEER (1980)","MUNICIPALITY","OPERATION NAME","PERMIT EXPIRATION DATE","PERMITTED  (D/B/A)","PERMITTED  CORP. NAME","PERM. OPERATOR LAST NAME","PERM. OPERATOR FIRST NAME","NYS HEALTH OPERATION ID","INSPECTION TYPE","INSPECTION COMMENTS","FOOD SERVICE FACILITY STATE","Location1"
"CIA - THE EGG / STUDENT COMMONS","1946 CAMPUS  DRIVE,  HYDE PARK","12/05/2025","Item  8D-   Single service items reused, improperly stored, dispensed, not used when required;","0","0","1","Food Service Establishment - Restaurant","Dutchess County","DUTCHESS","1946 CAMPUS  DRIVE","HYDE PARK","12538","135600","HYDE PARK","CIA - THE EGG / STUDENT COMMONS","12/31/2025",,"THE CULINARY INSTITUTE OF AMERICA","KRUPIN","MARIA","275244","Inspection",,"NY","(41.746196, -73.931858)"
"KENNEDY FRIED CHICKEN - POK","472 MAIN  STREET,  POUGHKEEPSIE","09/17/2025","Item 14A-   Insects, rodents present;","0","0","1","Food Service Establishment - Restaurant","Dutchess County","DUTCHESS","472 MAIN  STREET","POUGHKEEPSIE","12601","130200","POUGHKEEPSIE","KENNEDY FRIED CHICKEN - POK","09/30/2025",,"KENNEDY #1 CORP.","KHAN","MOHAMMAD","274168","Inspection",,"NY","(41.701534, -73.920536)"
"ROOSEVELT THEATRE","4060 ALBANY POST  ROAD,  HYDE PARK","11/13/2025","Item 14A-   Insects, rodents present;","0","0","1","Food Service Establishment - Restaurant","Dutchess County","DUTCHESS","4060 ALBANY POST  ROAD","HYDE PARK","12538","135600","HYDE PARK","ROOSEVELT THEATRE","06/30/2026",,"ROOSEVELT CINEMAS","BULAY JR.","ALEXANDER","274730","Inspection",,"NY","(41.77086, -73.9303)"
"ROCHESTER CINEMA","957 SOUTH CLINTON AVENUE,  ROCHESTER","12/19/2025","Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained;","0","0","1","Food Service Establishment - Restaurant","Monroe County","MONROE","957 SOUTH CLINTON AVENUE","ROCHESTER","14620","270104","ROCHESTER","ROCHESTER CINEMA","12/31/2022",,,,,"1088683","Inspection",,"NY","(43.13957, -77.59608)"
"ROGUE'S ROOST GOLF AND COUNTRY WEST","1086 STATE HWY 31,  BRIDGEPORT","06/11/2025","No violations found.","0","0","0","Food Service Establishment - Restaurant","Madison County","MADISON","1086 STATE HWY 31","BRIDGEPORT","13030","266400","SULLIVAN","ROGUE'S ROOST GOLF AND COUNTRY WEST","12/31/2025",,"SKUNK CITY TRADING CORP","JOHNSTON","DARL","280919","Inspection","Satisfactory inspection.","NY","(43.153365, -75.923391)"
"MIDDLEPORT FIRE COMPANY","28 MAIN STREET,  MIDDLEPORT","03/13/2025","No violations found.","0","0","0","Food Service Establishment - Food Service Establishment","Niagara County","NIAGARA","28 MAIN STREET","MIDDLEPORT","14105","315800","ROYALTON","MIDDLEPORT FIRE COMPANY","03/31/2026",,,"AUXILIARY","LADIES","286217","Inspection","Restrooms  : OK|Cold  Holds / Coolers  < 45 d  F : OK|Bar  Area   : OK|Hand wash station : OK|3 bay sink  wash  > rinse  . sanitize  air  dry  50 ppm Cl : OK|Mop sink : OK|Storage  practices  : OK|Sanitizer  available  wipe cloth  bucket 100 ppm Cl  : OK|Food  Testing  Thermometer  / Calibrated  Used  Appropriately : OK|Ice  machine : OK Scoop stored properly |Hand  barriers  : OK|Hair  restraints : OK|Choke  Poster  : OK|Permit  Posted : OK|CPR KIt  : OK |Kitchen rarely  used  once / twice  per yea.r","NY","(43.211859, -78.476526)"
"CANALSIDE INN","4431 MAIN  STREET,  GASPORT","01/13/2026","No violations found.","0","0","0","Food Service Establishment - Restaurant","Niagara County","NIAGARA","4431 MAIN  STREET","GASPORT","14067","315800","ROYALTON","CANALSIDE INN","01/31/2027",,,"BORK","LYNN","286038","Inspection","Food testing thermometer ok.  Chicken wings cooked from raw to >165F.  Hot holds ok.  Coolers <45F.  Handwashing and glove use ok.  Hair restrained.  Bleach sanitizer 100ppm in wiping bucket.  Chemical dish machine sanitizing to 50ppm.  All coolers <45F.  Roast beef cooked and hot held at 140F or above and sliced to order.","NY","(43.19921, -78.57559)"
"MARINERS LANDING","1540  FRANKLIN STREET,  OLCOTT","08/08/2025","No violations found.","0","0","0","Food Service Establishment - Restaurant/Catering Operation","Niagara County","NIAGARA","1540  FRANKLIN STREET","OLCOTT","14126","315400","NEWFANE","MARINERS LANDING","06/30/2026",,,"PINKHAM","JENNY","286756","Re-Inspection","Critical violation has been corrected. - ROP Waiver is being adhered to as written.|  Blue violation correction to be verified at next inspection.","NY","(43.33862, -78.71309)"
"IKEA","1 Destiny USA DRIVE,  Syracuse","11/14/2025","No violations found.","0","0","0","Food Service Establishment - Restaurant","Onondaga County","ONONDAGA","1 Destiny USA DRIVE","Syracuse","13204","330100","SYRACUSE","IKEA","01/31/2026",,"Ikea US Retail LLC","Cashion","Lynn","1177577","Inspection","Opening inspection conducted on this date. Conditions are satisfactory to operate pending approval from all other regulating agencies. All equipment and surfaces must be cleaned and sanitized prior to operating.","NY","(43.06972, -76.17326)"
"FREDDY'S DINER","101 FORD STREET,  BOONVILLE","12/19/2025","No violations found.","0","0","0","Food Service Establishment - Food Service Establishment","Oneida County","ONEIDA","101 FORD STREET","BOONVILLE","13309","325300","BOONVILLE","FREDDY'S DINER","12/31/2026",,"KAPFER ENTERPRISES, INC.","KAPFER","KAREN","290083","Inspection",,"NY","(43.483097, -75.33598)"
"FRANKLIN HOTEL","301 SOUTH JAMES STREET,  ROME","12/04/2024","No violations found.","0","0","0","Food Service Establishment - Food Service Establishment","Oneida County","ONEIDA","301 SOUTH JAMES STREET","ROME","13440","320111","ROME","FRANKLIN HOTEL","12/31/2025",,,"VESCIO","MARK","288770","Inspection",,"NY","(43.208136, -75.460184)"
"Borodino Fire Department","2500 Nunnery ROAD,  Skaneateles","10/27/2025","No violations found.","0","0","0","Food Service Establishment - Food Service Establishment","Onondaga County","ONONDAGA","2500 Nunnery ROAD","Skaneateles","13152","336600","SPAFFORD","Borodino Fire Department","01/31/2027",,"Borodino Fire Department","Leubner","Adam","293060","Inspection","Coolers operable. Hot water on site. Permit posted. Conditions satisfactory at this time. Water system inspection done on this date.","NY","(42.858103, -76.337904)"
"STOCKDALE'S BAR AND GRILL","103 RIVER STREET,  ORISKANY","04/02/2025","Item  8B-   In use food dispensing utensils improperly stored;","0","0","1","Food Service Establishment - Food Service Establishment","Oneida County","ONEIDA","103 RIVER STREET","ORISKANY","13424","327500","WHITESTOWN","STOCKDALE'S BAR AND GRILL","12/31/2026",,,"BAKER","ANDREA","290075","Inspection",,"NY","(43.157776, -75.332159)"
"GINO'S DELI","97 TOWNERS ROAD,  CARMEL","10/15/2025","Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.;","0","0","3","Food Service Establishment - Restaurant","Putnam County","PUTNAM","97 TOWNERS ROAD","CARMEL","10512","395100","KENT","GINO'S DELI","03/31/2026",,"S.V.K. FOODS INC.","PATEL","PARESH","299398","Inspection","Floor slop sink is present in the employee bathroom, staff said do not use it as a shower stall, they put mop water there.|Kitchen ceiling and walls were painted in the kitchen, nice job.","NY","(41.447336, -73.664651)"
"TAYLOR MARIE'S ICE CREAM PARLOR","3957 PORT STREET,  PULASKI","09/04/2025","No violations found.","0","0","0","Food Service Establishment - Restaurant","Oswego County","OSWEGO","3957 PORT STREET","PULASKI","13142","372600","RICHLAND","TAYLOR MARIE'S ICE CREAM PARLOR","09/30/2025",,"AAA PROPERTY SERVICES INC","CLARK","AMY","455674","Inspection","Facility closed for season.","NY","(43.561816, -76.128966)"
"DOWLING GARDENS","190 KINGS HIGHWAY,  SPARKILL","09/30/2025","No violations found.","0","0","0","Food Service Establishment - Food Service Establishment","Rockland County","ROCKLAND","190 KINGS HIGHWAY","SPARKILL","10976","435200","ORANGETOWN","DOWLING GARDENS","09/30/2026","DOWLING GARDENS","DOWLING HOUSING CORP.","JANECZKO","MATHEW","304696","Inspection","No Violations Observed.","NY","(41.03355, -73.92885)"
"AMC THEATRES PALISADES CENTER 21","4403 PALISADES CENTER DRIVE,  WEST NYACK","08/08/2025","No violations found.","0","0","0","Food Service Establishment - Food Service Establishment","Rockland County","ROCKLAND","4403 PALISADES CENTER DRIVE","WEST NYACK","10994","435000","CLARKSTOWN","AMC THEATRES PALISADES CENTER 21","11/30/2026","LOEW'S CINEPLEX-U.S.","AMERICAN MULTI-CINEMA, INC.","ARON","ADAM","304019","Inspection","No Violations Observed.|Hand Hygiene is within nominal parameters|Pest Control log is up to date. |Food Safety class certificate present during inspection.","NY","(41.099215, -73.960544)"
"ARBOR AT THE PORT","1000 NORTH RIVER STREET,  ROCHESTER","12/08/2025","Item 11D-   Non food contact surfaces of equipment not clean; Item 14A-   Insects, rodents present;","0","0","2","Food Service Establishment - Restaurant","Monroe County","MONROE","1000 NORTH RIVER STREET","ROCHESTER","14612","270104","ROCHESTER","ARBOR AT THE PORT","12/31/2018",,,,,"1005423","Inspection",,"NY","(43.25613, -77.60693)"
"HOMESTEAD, THE","107 SOUTH  STREET,  OYSTER BAY","08/12/2025","Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing;","0","0","1","Food Service Establishment - Restaurant","Nassau  County","NASSAU","107 SOUTH  STREET","OYSTER BAY","11771","295212","OYSTER BAY","THE HOMESTEAD","05/31/2026",,"107 SOUTH STREET CORP",,,"753127","Re-Inspection",,"NY","(40.871786, -73.530783)"
"MELISSA'S RESTAURANT","642 YONKERS AVENUE,  YONKERS","05/01/2025","Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11D-   Non food contact surfaces of equipment not clean; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces;","0","0","3","Food Service Establishment - Food Service Establishment","Westchester County","WESTCHESTER","642 YONKERS AVENUE","YONKERS","10704","590707","YONKERS","MELISSA'S RESTAURANT","05/31/2026","MELISSA'S RESTAURANT","MELISSA'S RESTAURANT, INC.","GUEVARA","SANTOS","496700","Inspection",,"NY","(40.925983, -73.868629)"
"DUNKIN DONUTS","1311 BOSTON POST ROAD,  LARCHMONT","03/11/2025","Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained;","0","0","1","Food Service Establishment - Food Service Establishment","Westchester County","WESTCHESTER","1311 BOSTON POST ROAD","LARCHMONT","10538","595600","MAMARONECK","DUNKIN DONUTS","07/31/2026",,"MEN AT WORK LLC","CHIARAVELLE","DANIEL","532706","Inspection","All measured temperatures adequate at this time. Remaining violations to be checked for compliance at next routine inspection. Pest control services are provided by Ecolab on a monthly basis. With last date of service 2/18/2025|Discussed the following: |- Allergen course for permit renewal|- Permit to be displayed in conspicuously","NY","(40.936485, -73.74679)"
"MEALS ON WHEELS OF PC/RYE/RYE BROOK","6 NORTH PEARL STREET,  PORT CHESTER","02/19/2025","Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing;","0","0","5","Institutional Food Service - Adult Feeding (Non-SOFA)","Westchester County","WESTCHESTER","6 NORTH PEARL STREET","PORT CHESTER","10573","590600","RYE","MEALS-ON-WHEELS OF PC/RYE/RYE BROOK","06/30/2026",,"MEALS-ON-WHEELS OF PC/RYE/RYE BROOK INC.","MATTHEW","BETH","481146","Inspection","Violations to be corrected prior to next routine inspection.|All hot and cold measured temperatures adequate at this time.|Food workers using proper food handling techniques at time of inspection. |Temperature log book on-site and available for viewing.|Extermination services provided by Goryn Pest Control - service is every 2 weeks - last service dates 1/16/25|Discussed:|- Allergy laws|- Single use utensil law|- Proper storage of wet wiping cloths|- Cover food when stored in refrigeration units|Approved allergen courses: (only need to take one of these)|https://www.servsafe.com/ServSafe-Allergens|https://www.statefoodsafety.com/food-allergens|https://menutrinfo.com/training/|New food allergy posters and new requirements may be found on the county website|https://health.westchestergov.com/sanitation#:~:text=The%20new%20law%20(Chapter%20541,information%2|0to%20patrons%20and%20staff.|English Sign: https://health.westchestergov.com/images/stories/PDF/foodallergylaw.pdf|Spanish Sign: https://health.westchestergov.com/images/stories/PDF/foodallergylawsp.pdf|NYS Required Food Allergen Sign:|https://www.health.ny.gov/environmental/indoors/food_safety/fse_signage.htm|New Upon request law: https://www.westchestergov.com/home/all-press-releases/9920-westchester-county-s[1]upon-request-law-aimed-at-curbing-use-of-single-use-foodware-takes-effect-on-september-2","NY","(40.99363, -73.677434)"
"ECHO LAKE LODGE","175  HUDSON STREET,  WARRENSBURG","06/11/2025","Item 11D-   Non food contact surfaces of equipment not clean; Item 12D-   Toilet facilities inadequate, inconvenient, dirty, in disrepair, toilet paper missing, not self-closing doors, missing hand wash signs;","0","0","2","Food Service Establishment - Restaurant","Glens Falls District Office","WARREN","175  HUDSON STREET","WARRENSBURG","12885","566000","WARRENSBURG","ECHO LAKE LODGE","09/30/2027","ECHOM LAKE LODGE","ECHO LAKE LODGE, LLC.","STEIN","ANTHONY","336333","Inspection","All violations must be corrected and are subject to enforcement action if not addressed in a timely manner.","NY","(43.52787, -73.79058)"
"PELHAM COUNTRY CLUB - SNACK BAR","940 WYNNEWOOD ROAD,  PELHAM MANOR","07/14/2025","No violations found.","0","0","0","Food Service Establishment - Food Service Establishment","Westchester County","WESTCHESTER","940 WYNNEWOOD ROAD","PELHAM MANOR","10803","593700","PELHAM","PELHAM COUNTRY CLUB - SNACK BAR","06/30/2026","PELHAM COUNTRY CLUB/POOL","PELHAM COUNTRY CLUB","REYES","ALVARO","475288","Inspection",,"NY","(40.896547, -73.801139)"
"SUSHI MIKE'S","146 MAIN STREET,  DOBBS FERRY","06/16/2025","No violations found.","0","0","0","Food Service Establishment - Food Service Establishment","Westchester County","WESTCHESTER","146 MAIN STREET","DOBBS FERRY","10522","592500","GREENBURGH","SUSHI MIKE'S","01/31/2027","SUSHI MIKE'S","HANA GOURMET CORP.","YUEN","MICHAEL","458654","Inspection","FSE inspection previously scheduled. Facility not open to public at time of inspection. Measured temperatures are adequate at time of inspection. HACCP provided.","NY","(41.015107, -73.874891)"
"BYRNCLIFF INC","2357 HUMPHREY ROAD,  VARYSBURG","12/05/2025","No violations found.","0","0","0","Food Service Establishment - Restaurant","Wyoming County","WYOMING","2357 HUMPHREY ROAD","VARYSBURG","14167","606300","SHELDON","BYRNCLIFF Food Service","11/30/2026",,,,,"322020","Inspection","Reviewed cooling time and temperature requirements, storage of foods and other food code requirements with kitchen manager during inspection.","NY","(42.764993, -78.375557)"
"DUNKIN'","45  QUAKER  AVENUE,  CORNWALL","01/12/2026","Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked);","0","0","1","Food Service Establishment - Food Service Establishment","Orange County","ORANGE","45  QUAKER  AVENUE","CORNWALL","12518","355200","CORNWALL","Dunkin","09/30/2026",,"Giatri Donuts, Inc.","Patel","Amish","603361","Inspection",,"NY","(41.434289, -74.039444)"
"ADIRONDACK PUB & BREWERY","33 CANADA STREET,  LAKE GEORGE","11/07/2025","Item  8D-   Single service items reused, improperly stored, dispensed, not used when required; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces;","0","0","2","Food Service Establishment - Food Service Establishment","Glens Falls District Office","WARREN","33 CANADA STREET","LAKE GEORGE","12845","562000","LAKE GEORGE","ADIRONDACK PUB & BREWERY","09/30/2027","ADIRONDACK PUB & BREWERY","ADIRONDACK PUB & BREWERY, INC","CARR","JOHN","334681","Inspection","All violations are subject to enforcement action and must be corrected in a timely manner.|Inspector notes that numerous double panned foods requiring temperature control for safety (TCS) held in three different steam tables all temped right at 140F, leaving little margin of safety to maintain food at the minimum 140F. Inspector suggests operating the steam tables at slightly higher temperatures.","NY","(43.418448, -73.713565)"
"BAGELS-N-CREAM","2 ELM STREET,  DELHI","07/03/2025","No violations found.","0","0","0","Food Service Establishment - Restaurant","Oneonta District Office","DELAWARE","2 ELM STREET","DELHI","13753","122100","DELHI","BAGELS-N-CREAM","12/31/2026",,"LOVE LION LLC","Noviello","Vita","355763","Inspection","1. No violations noted at the time of the inspection.|2. Please contact the Oneonta District Office at 607-432-3911 or odo@health.ny.gov with any questions.","NY","(42.27218, -74.921389)"
"SILVER BAY ASSOCIATION","87 SILVER BAY ROAD,  SILVER BAY","08/07/2025","Item 11A-   Manual facilities inadequate, technique incorrect; mechanical facilities not operated in accordance with manufacturer's instructions; Item 12D-   Toilet facilities inadequate, inconvenient, dirty, in disrepair, toilet paper missing, not self-closing doors, missing hand wash signs; Item 14A-   Insects, rodents present;","0","0","3","Food Service Establishment - Food Service Establishment","Glens Falls District Office","WARREN","87 SILVER BAY ROAD","SILVER BAY","12874","565300","HAGUE","SILVER BAY ASSOCIATION - STORE (THE)","09/30/2027",,,,,"1097036","Inspection","All violations are subject to enforcement action and must be corrected in a timely manner.","NY","(43.691446, -73.505665)"
"AMERICAN LEGION POST #904","9 ROCK STREET,  ALEXANDRIA BAY","07/28/2025","Item 11D-   Non food contact surfaces of equipment not clean;","0","0","1","Institutional Food Service - Religious, Charitable, Fraternal Organization","Watertown District Office","JEFFERSON","9 ROCK STREET","ALEXANDRIA BAY","13607","222100","ALEXANDRIA","AMERICAN LEGION POST #904","12/31/2027","AMERICAN LEGION POST #904","JOHN LYMAN POST #904","Side","Eugene","362403","Inspection","All cold holding acceptable, potatoes 41 degrees. Facility is clean. Kitchen used for events only and fish fries. Very limited amount of food stored on site.","NY","(44.335955, -75.916559)"
"KEEGAN ALES","20 SAINT JAMES STREET,  KINGSTON","01/03/2025","No violations found.","0","0","0","Food Service Establishment - Food Service Establishment","Ulster County","ULSTER","20 SAINT JAMES STREET","KINGSTON","12401","550100","KINGSTON","KEEGAN ALES","02/28/2026",,"KEEGAN ALES, LLC","HANTES","LISA","559932","Inspection","Bain Marie 38, main cooler 36.   beef stew 185.","NY","(41.931723, -74.011972)"
"PHIL'S PIZZA","265 JERICHO  TURNPIKE,  SYOSSET","03/31/2025","No violations found.","0","0","0","Food Service Establishment - Restaurant","Nassau  County","NASSAU","265 JERICHO  TURNPIKE","SYOSSET","11791","295216","OYSTER BAY","PHIL'S PIZZA","09/30/2026","PHIL'S PIZZA","LGA ENTERPRISES INC",,,"575075","Re-Inspection","hot water measured at 132ºF","NY","(40.810362, -73.506437)"
"CATHEDRAL POST 1087 AMERICAN LEGION","233 WOODLAWN  ROAD,  WEST HEMPSTEAD","04/25/2025","No violations found.","0","0","0","Institutional Food Service - Religious, Charitable, Fraternal Organization","Nassau  County","NASSAU","233 WOODLAWN  ROAD","WEST HEMPSTEAD","11552","295049","HEMPSTEAD","CATHEDRAL POST 1087 AMERICAN LEGION-MH KITCHEN","04/30/2026","CATHEDRAL PT 1087 AMERICAN LEGION","CATHEDRAL POST 1087 AMERICAN LEGION",,,"571810","Inspection","No violation noted at time of visit","NY","(40.700336, -73.645997)"
"CHABAD GAN CHAMESH","74 MAPLE  AVENUE,  CEDARHURST","10/24/2023","No violations found.","0","0","0","Institutional Food Service - Day Care Center Food Service","Nassau  County","NASSAU","74 MAPLE  AVENUE","CEDARHURST","11516","292900","HEMPSTEAD","CHABAD GAN CHAMESH","12/31/2040","CHABAD GAN CHAMESH","CHABAD OF FIVE TOWNS","WOLOWIK","SHNEUR Z","572150","Inspection","66 students enrolled |ages 2-4 years|parents send in lunch and snacks|one residential refrigerator with an ambient air thermometer|sick worker policy discussed |single service ware used|restrooms stocked with soap and paper towels |gloves throughout ||Grade “A”|Acceptable for licensing","NY","(40.6229, -73.720472)"
"SUBWAY SANDWICHES","204 WEST MERRICK ROAD,  VALLEY STREAM","10/30/2025","No violations found.","0","0","0","Food Service Establishment - Food Service Establishment","Nassau  County","NASSAU","204 WEST MERRICK ROAD","VALLEY STREAM","11580","291000","HEMPSTEAD","SUBWAY","07/31/2026","SUBWAY SANDWICHES","204 FOOD CORPORATION",,,"570078","Re-Inspection","No violation was noted at the time of inspection.","NY","(40.666972, -73.705727)"
"MICKEY'S","629 EAST STATE STREET,  OLEAN","12/09/2025","No violations found.","0","0","0","Food Service Establishment - Restaurant/Catering Operation","Cattaraugus County","CATTARAUGUS","629 EAST STATE STREET","OLEAN","14760","040100","OLEAN","MICKEY'S","04/30/2026",,"MICKEY'S, INC.","WEATHERELL","ERIC","259462","Inspection","No violations at time of inspection.","NY","(42.077766, -78.418791)"
"PORT WASHINGTON YACHT CLUB","1 YACHT CLUB DRIVE,  PORT WASHINGTON","11/08/2023","No violations found.","0","0","0","Food Service Establishment - Restaurant","Nassau  County","NASSAU","1 YACHT CLUB DRIVE","PORT WASHINGTON","110503429","295111","N. HEMPSTEAD","PT WASHINGTON YACHT CLUB","07/31/2025","PT WASHINGTON YACHT CLUB","PORT WASHINGTON YACHT CLUB",,,"577919","Re-Inspection","Shellfish tag protocol implemented; shellfish tags on site","NY","(40.822655, -73.702023)"
